Name,FMISID,LPNN,WMO,Lat,Lon,Elevation,Started
Pyhäjärvi Hiidenniemi,101706,4413,,63.61,25.47,140,1992
Pyhäjärvi Ojakylä,101705,4412,2738,63.74,25.71,152,1990
Pöytyä Yläne,101093,1130,,60.87,22.39,57,1975
Raahe keskusta,103147,,,64.68,24.48,3,2005
Raahe Lapaluoto,100540,,,64.67,24.41,0,1922
Raahe Lapaluoto,103145,,,64.67,24.42,11,1982
Raahe Lapaluoto harbour,101785,5311,2872,64.67,24.41,2,1990
Raahe Merikatu,103146,,,64.68,24.47,20,2009
Raahe Nahkiainen,101775,5201,2800,64.61,23.9,0,1997
Raasepori Jussarö,100965,215,2757,59.82,23.57,17,1990
Raisio Ihala,106630,,,60.47,22.19,10,2017
Raisio Kaanaa Sakunpiha,106419,,,60.47,22.1,20,2016
Rantasalmi Rukkasluoto,101436,2716,2772,62.06,28.57,79,1997
Ranua airfield,101873,6514,2881,65.98,26.37,161,2008
Rauma Kylmäpihlaja,101061,1018,2761,61.14,21.3,4,1990
Rauma Pyynpää,105427,1023,,61.14,21.52,15,2018
Rauma Sinisaari,778578,,,61.12,21.49,2,1986
Rauma Tarvonsaari Hallikatu,103113,,,61.13,21.5,3,2002
Rauma Ulko-Petäjäs,134224,,,61.13,21.43,0,1933
Rautavaara Ala-Luosta,101599,3712,,63.27,28.47,112,1968
Rautavaara Ylä-Luosta,101603,3716,2789,63.38,28.66,166,1976
Ristijärvi Mustavaara,101753,4711,,64.47,28.62,268,1978
Rovaniemi airport,101920,7401,2845,66.56,25.84,189,1951
Rovaniemi airport AWOS,137190,,,66.56,25.82,193,1999
Rovaniemi Apukka,101933,7502,2813,66.58,26.01,106,1939
Rovaniemi railway station,101928,7409,2847,66.5,25.71,85,1997
Rovaniemi Vennivaara,101927,7408,2846,66.55,25.57,191,1991
Ruokolahti Kotaniemi,101248,1712,,61.37,28.68,97,1998
Rääkkylä parish,101450,2810,,62.31,29.63,97,1971
Salla Kelloselkä,101956,7706,,66.94,28.98,200,1949
Salla Naruska,101966,7804,2745,67.16,29.18,213,1999
Salla parish,101959,7709,2849,66.82,28.69,218,1999
Salla Värriötunturi,102012,8803,2819,67.75,29.61,360,1971
Salo Kiikala airfield,100967,217,2777,60.46,23.65,117,2002
Salo Kärkkä,100955,205,2756,60.37,23.11,2,1936
Savonlinna airport,101430,2710,2948,61.95,28.93,93,1974
Savonlinna Haapasalmi,106418,,,61.87,28.89,79,2016
Savonlinna Laukansaari,101423,2702,,61.8,28.85,94,1942
Savonlinna Olavinkatu,104045,,,61.87,28.88,79,2004
Savonlinna Punkaharju Laukansaari,101441,2801,2778,61.8,29.32,79,1905
Savonlinna Savonranta,101448,2808,,62.17,29.28,90,1908
Savukoski parish,101952,7702,2815,67.29,28.18,180,1963
Sea of Bothnia wavebuoy,134246,,,61.8,20.23,0,2011
Seinäjoki Pelmaa,101486,3101,2833,62.94,22.49,26,1927
Seinäjoki Vapaudentie 6a,103110,,,62.78,22.84,20,2011
Siikajoki Ruukki,101787,5402,2803,64.68,25.09,48,1904
Siikalatva Kestilä,101717,4509,,64.36,26.3,89,1908
Siilinjärvi Kuopio airport,101570,3601,2917,63.01,27.8,96,1945
Siilinjärvi Kuuslahti,107026,,,63.13,27.77,103,2018
Siilinjärvi Murtomäki,106629,,,63.14,27.7,123,2017
Sipoo Eestiluoto,101029,423,2930,60.12,25.22,13,2008
Sipoo Itätoukki,105392,425,,60.1,25.19,5,2017
Siuntio Sjundby,105302,321,,60.14,24.26,26,1995
Sodankylä Heikinheimo-masto,101942,7511,2742,67.36,26.64,179,2000
Sodankylä Lokka,102000,8601,2719,67.82,27.75,240,1958
Sodankylä Luosto,101939,7508,2840,67.14,26.9,532,2000
Sodankylä Tähtelä,101932,7501,2836,67.37,26.63,179,1891
Sodankylä Vuotso,102001,8602,2816,68.08,27.19,248,1958
Somero Salkola,101128,1227,2949,60.65,23.81,142,2010
Sotkamo Kuolaniemi,101756,4714,2739,64.11,28.34,161,1989
Sulkava Halttula,101425,2704,,61.92,28.32,109,1933
Suomussalmi Näljänkä,101822,5707,,65.24,28.45,251,1970
Suomussalmi Pesiö,101826,5711,2889,64.93,28.75,222,1981
Suonenjoki Iisvesi,101578,3609,,62.67,27.04,103,1978
Suonenjoki Sairaalakatu,106425,,,62.63,27.12,101,2016
Sysmä Joutsjärvi,101342,2404,,61.51,25.81,91,1947
Taivalkoski Inkee,101882,6704,,65.73,28.56,247,1968
Taivalkoski parish,101885,6707,2804,65.57,28.22,197,2002
Tampere Epila 2,103096,,,61.51,23.68,100,2009
Tampere Härmälä,101124,1222,2763,61.47,23.75,84,1997
Tampere Kaleva,103097,,,61.5,23.8,20,2009
Tampere Linja-autoasema,103098,,,61.49,23.77,80,2008
Tampere Pirkankatu,103099,,,61.5,23.74,120,2003
Tampere Siilinkari,101311,2219,2943,61.52,23.75,96,1989
Tampere Tampella,151049,2223,2744,61.5,23.76,91,2012
Teuva Kauppilankylä,101262,2008,,62.49,21.76,,1960
Tohmajärvi Kemie,101459,2902,2832,62.24,30.35,90,1925
Toholampi Laitala,101689,4314,2737,63.82,24.16,84,1988
Toholampi Oravala,101679,4304,,63.77,24.28,85,1926
Tornio Pudas,104201,,,65.84,24.17,11,1989
Tornio Torppi,101851,6312,2880,65.85,24.17,8,2008
Turku airport,101065,1101,2972,60.52,22.28,45,1955
Turku Artukainen,100949,118,2773,60.45,22.18,8,2003
Turku Kauppatori väliaikainen,106797,,,60.45,22.27,6,2018
Turku Rajakari,100947,116,2747,60.38,22.1,3,1991
Turku Ruissalo Saaronniemi,134225,,,60.43,22.1,0,1922
Turku Ruissalo Saarontie,100845,,,60.43,22.1,6,1999
Utajärvi Korkiakangas,101872,6513,2870,64.77,26.32,118,1997
Utajärvi Särkijärvi,101809,5604,,64.93,27.19,130,1916
Utsjoki Kevo,102035,9603,2805,69.76,27.01,107,1962
Utsjoki Kevo Kevojärvi,126737,9618,2890,69.76,27.01,76,2010
Utsjoki Nuorgam,102036,9604,2825,70.08,27.9,22,1929
Uusikaupunki Itätulli,101049,1006,,60.8,21.42,7,1908
Uusikaupunki Vekara,106631,,,60.87,21.05,0,2017
Vaala Pelso,101800,5502,2714,64.5,26.42,114,1944
Vaasa airport,101462,3001,2911,63.06,21.75,4,1946
Vaasa keskusta Vaasanpuistikko,103104,,,63.1,21.62,15,2001
Vaasa Klemettilä,101485,3024,2957,63.1,21.64,7,2010
Vaasa Vaskiluoto,134223,,,63.08,21.57,0,1922
Vaasa Vesitorni,103103,,,63.1,21.6,16,2006
Valtimo parish,101743,4701,2798,63.67,28.83,115,1969
Vantaa Helsinki-Vantaa airport,100968,301,2974,60.33,24.96,51,1952
